sentence_id,client_uid,doc_uid,label_E1,label_E2,label_E3,label_E4,label_E5
31,C002,D04,c3,c3,c2,c3,c3
32,C002,D04,c0,c1,c1,c1,c3
37,C002,D04,c3,c3,c2,c3,c3
38,C002,D04,c3,c3,c2,c3,c0
45,C002,D04,c2,c2,c2,c2,c2
46,C002,D04,c3,c3,c1,c3,c3
48,C002,D04,c3,c1,c1,c1,c1
53,C002,D03,c3,c3,c1,c0,c3
54,C002,D03,c3,c1,c1,c2,c3
55,C002,D03,c3,c3,c2,c2,c1
56,C002,D03,c0,c0,,c0,c0
60,C002,D03,c3,c3,c1,c1,c1
75,C002,D03,c3,c3,c2,c2,c1
91,C002,D03,c3,c3,c3,c3,c3
92,C002,D03,c3,c3,c1,c3,c1
108,C002,D03,c3,c3,c0,c0,c1
111,C002,D03,c3,c3,c1,c2,c0
112,C002,D03,c3,c1,c1,c1,c1
115,C002,D03,c0,c1,c1,c3,c1
117,C002,D03,c3,c3,c1,c3,c3
118,C002,D03,c1,c0,c2,c1,c0
122,C002,D03,c0,c0,c0,c0,c0
125,C002,D03,c1,c1,c1,c1,c1
128,C002,D03,c2,c2,c2,c0,c2
133,C002,D03,c0,c0,c0,c0,c0
134,C002,D03,c2,c1,c0,c1,c0
145,C002,D03,c3,c3,c2,c0,c0
159,C002,D01,c1,c1,c1,c0,c1
168,C002,D01,c3,c3,c0,c3,c1
169,C002,D01,c3,c3,c3,c0,c3
172,C002,D01,c0,c3,c3,c2,c0
181,C002,D01,c0,c2,c2,c2,c1
182,C002,D01,c0,c1,c2,c0,c1
191,C002,D02,c0,c2,c2,c0,c2
193,C002,D02,c0,c2,c2,c2,c2
199,C002,D02,c3,c3,c2,c3,c3
201,C002,D02,c3,c1,c1,c0,c1
205,C002,D02,c0,c0,c2,c2,c2
207,C002,D02,c0,c0,c0,c0,c0
210,C002,D02,c3,c3,c2,c2,c0
217,C002,D02,c0,c2,c2,c2,c0
220,C002,D02,c3,c3,c1,c3,c1
223,C002,D02,c3,c3,c2,c1,c1
229,C002,D02,c2,c1,c1,c2,c1
232,C002,D02,c2,c2,c2,c1,c2
233,C002,D02,c2,c1,c2,c3,c2
243,C002,D02,c1,c0,c0,c0,c0
246,C002,D02,c0,c1,c2,c2,c1
251,C002,D02,c0,c2,c2,c3,c0
252,C002,D02,c0,c2,c2,c2,c0
261,C002,D02,c3,c3,c1,c3,c1
262,C002,D02,c3,c3,c0,c2,c1
263,C002,D02,c0,c0,c0,c0,c1
264,C002,D02,c3,c1,c1,c1,c1
279,C002,D02,c0,c1,c0,c2,c1
285,C002,D02,c3,c0,c0,c2,c0
291,C002,D05,c3,c3,c2,c2,c3
293,C002,D05,c3,c3,c0,c3,c3
296,C002,D05,c3,c3,c1,c3,c1
301,C002,D05,c3,c3,c1,c3,c1
303,C002,D05,c3,c2,c0,c3,c2
311,C002,D05,c3,c3,c0,c3,c0
315,C002,D05,c3,c3,c2,c3,c3
321,C002,D05,c1,c0,c0,c0,c0
323,C002,D05,c3,c1,c1,c1,c1
326,C002,D05,c3,c2,c2,c2,c0
328,C002,D05,c3,c3,c2,c3,c3
336,C002,D05,c0,c1,c1,c2,c1
338,C002,D05,c3,c3,c1,c3,c3
339,C002,D05,c3,c3,,c0,c3
343,C002,D05,c3,c1,c1,c2,c1
346,C002,D05,c0,c2,c2,c2,c1
351,C002,D05,c3,c3,c2,c3,c3
353,C002,D05,c1,c0,c1,c1,c1
355,C002,D05,c0,c2,c2,c2,c0
356,C002,D05,c1,c3,c3,c3,c0
357,C002,D05,c3,c1,c2,c2,c1
358,C002,D05,c3,c1,c2,c2,c1
359,C002,D05,c3,c3,c1,c0,c1
360,C002,D05,c3,c3,c1,c3,c1
361,C002,D05,c3,c3,c1,c2,c1
363,C002,D05,c3,c3,,c0,c3
371,C002,D05,c3,c0,c2,c2,c0
372,C002,D05,c3,c3,c3,c3,c3
376,C002,D05,c0,c0,c0,c0,c0
391,C002,D05,c0,c1,c1,c1,c1
406,C001,D02,c3,c3,c3,c3,
424,C001,D02,c0,c1,c1,c1,c1
431,C001,D01,c1,c1,c1,c1,c2
432,C001,D01,c0,c3,c3,c0,c3
451,C001,D01,c0,c1,c1,c1,c1
465,C001,D01,c0,c0,c0,c0,
468,C001,D01,c0,c1,c2,c1,c2
473,C001,D03,c0,c2,c0,c2,c0
478,C001,D03,c2,c2,c2,c2,c0
481,C001,D03,c0,c0,c0,c0,c0
488,C001,D03,c3,c1,c1,c1,c3
491,C001,D03,c0,c1,c1,c2,c1
498,C001,D03,c2,c2,c1,c2,c2
508,C001,D03,c0,c0,c1,c2,c0
519,C001,D03,c0,c2,c0,c2,c2
526,C001,D03,c0,c2,c2,c2,c0
535,C001,D03,,c1,c1,c1,c0
536,C001,D03,c0,c2,c2,c2,c2
537,C001,D03,c0,c2,c0,c2,c2
539,C001,D03,c0,c0,c0,c0,c0
544,C001,D03,c2,c2,c1,c2,c2
545,C001,D03,c0,c1,c2,c2,c1
550,C001,D03,c0,c0,c1,c2,c0
553,C001,D03,c2,c3,c3,c2,c2
560,C001,D03,c0,c2,c1,c0,c1
562,C001,D03,c0,c3,c1,c2,c1
601,C001,D03,c0,c1,c0,c0,c1
602,C001,D03,c0,c1,c1,c1,c1
615,C001,D04,c0,c1,c1,c1,c2
631,C001,D04,c0,c1,c0,c0,c0
645,C001,D04,,c2,c1,c2,c0
646,C001,D04,c0,c2,c2,c2,c2
649,C001,D04,c3,c3,c3,c3,c3
658,C001,D04,c0,c2,c0,c2,c1
665,C001,D04,c2,c3,c2,c3,c2
672,C001,D04,c0,c0,c1,c2,c1
674,C001,D04,c0,c0,c1,c0,c1
677,C001,D04,c0,c0,c1,c1,c0
697,C001,D04,c1,c1,c1,c1,c1
698,C001,D04,c0,c0,c1,c0,c1
700,C001,D04,c1,c1,c1,c1,c1
708,C001,D05,c3,c3,c3,c3,c3
709,C001,D05,c3,c3,c1,c3,c3
715,C001,D05,c3,c3,c3,c3,c3
722,C001,D05,c0,c0,c0,c0,c0
724,C001,D05,c0,c1,c1,c1,c2
725,C001,D05,c2,c1,c1,c1,c1
726,C001,D05,c0,c0,c2,c0,c0
733,C001,D05,c0,c0,c1,c2,c0
740,C001,D05,c1,c1,c1,c0,c2
743,C001,D05,c1,c1,c1,c1,c1
746,C001,D05,,c0,c1,,c0
747,C001,D05,c0,c0,c1,c0,c0
750,C001,D05,c0,c0,c1,c3,c0
756,C001,D05,c1,c0,c0,c0,c0
757,C001,D05,c0,c2,c1,c1,c1
768,C001,D05,c0,c1,c1,c2,c1
779,C001,D05,c0,c0,c0,c0,c1
787,C001,D05,c0,c1,c1,c0,c0
798,C001,D05,c0,c1,c1,c0,c1
799,C001,D05,c0,c2,c1,c2,c2
803,C001,D05,c0,c2,c2,c0,c2
823,C001,D05,c0,c0,c1,c0,c2
827,C001,D05,c2,c1,c1,c1,c1
829,C001,D05,c1,c1,c1,c0,c1
845,C001,D06,c2,c1,c2,c2,c1
852,C001,D06,c2,c2,c1,c1,c1
859,C001,D06,c0,c2,c1,c2,c2
861,C001,D06,c0,c1,c1,c0,c2
867,C001,D06,c0,c2,c1,c1,c2
868,C001,D06,c0,c1,c1,c0,c2
887,C001,D06,c1,c2,c1,c2,c2
890,C001,D06,c0,c1,c1,c1,c2
891,C001,D06,c0,c1,c1,c1,c2
898,C001,D06,c1,c1,c1,c1,c1
899,C001,D06,c0,c1,c1,c2,c1
900,C001,D06,c0,c1,c1,c2,c1
902,C001,D06,c0,c0,c1,c0,c1
905,C001,D06,c2,c2,c1,c2,c2
909,C001,D06,c0,c1,c1,c1,c1
913,C001,D06,c0,c1,c1,c0,c1
938,C001,D06,c2,c1,c1,c2,c2
939,C001,D06,c2,c2,c1,,c1
955,C001,D06,c0,c1,c1,c2,c2
958,C001,D06,c0,c1,c0,c0,c1
964,C001,D06,c0,c0,c1,c2,c0
968,C001,D06,c0,c0,c1,c0,c0
976,C004,D01,c0,c0,c0,c0,c0
988,C004,D01,c0,c1,c1,c1,c1
1006,C004,D01,c0,c1,c2,c2,c1
1010,C004,D01,c0,c1,c1,c1,c1
1011,C004,D01,c1,c1,c1,c1,c1
1013,C004,D01,c1,c0,c2,c1,c0
1018,C004,D01,c0,c1,c1,c1,c1
1032,C004,D01,c0,c1,c1,c1,c1
1045,C004,D01,c2,c1,c1,c1,c1
1132,C004,D02,c3,c3,c3,c3,c0
